title,usr_code,review,place,travel_date,rating
Architecture marvel,MukeshDave,This is part of magnificent mile of Chicago - very old and historic bridge still in full working condition and offer great view of buildings on both side of river,Michigan Avenue Bridge,May 2019,50
Iconic building,meshef,"What is unique about this tower is the fact that on the exterior wall, there are pieces of glorious monuments from all across the world including Taj Mahal, Great Wall of China, Parthenon, etc. Well worth a visit for these pieces alone.",Tribune Tower,September 2017,40
A Building In Transition,Stan K,"When I walk Michigan Avenue, you cannot miss the Chicago Tribune Tower. It is an elegant structure. I read recently that it is in the process of being sold and may be renamed. ",Tribune Tower,March 2018,50
Tribune Tower,andrewsC7868UF,Very much enjoyed seeing this iconic Chicago landmark. The architecture of this building is quite nice and I would highly recommend all visitors take a few moments to admire the building.,Tribune Tower,March 2018,40
Neo Gothic,russypooh,The Tribune Tower is a neo Gothic skyscraper located on Michigan Avenue Magnificent Mile. Classic beauty and elegant historic architecture. Ornate stoneworks from all over the world are embedded into the exterior walls.,Tribune Tower,March 2018,40
Beautiful for afar and very close,BrianJSpain,"This is one of my favorite pieces of architecture in Chicago.  A gorgeous building form a distance, it is even more interesting up close.  If you walk around the outside walls, there are stones from all over the world, embedded all around the building.  These range from the Great Wall of China, to St. Paul's Cathedral, to Ankor Wat and every famous place in-between. There must be well over 100 stones with plaques that say where each is from.  If you go inside  the building there is beautiful lettering high on the lobby walls, with famous quotes about democracy and freedom of the press.  It only takes a few minutes to visit this site and it is completely free.",Tribune Tower,March 2018,50
lovely piece of engineering,littlemissred45,"I've seen this bridge many times on tv, but up close this 100 year old bridge is beautiful from the engineering side to the towers each side, although the decoration on the bridge is 10 years younger. one of the must sights to see",Michigan Avenue Bridge,May 2019,40
Very pretty views,cal19562014,This is beautiful and a must see! Really enjoyed walking the city and crossing the bridges.  The skyline is amazing. ,Michigan Avenue Bridge,May 2019,50
The heart of the City,mgsnorwich,"Stand on Michigan Avenue Bridge and the City unfolds in all directions. Look east and you have the Chicago River all the way to Navy Pier; look north and you have the magnificent Mile, famous for its shopping, look west and you look all the way up the Chicago River with its bridges and look south to The Loop. Look up and you see the Wrigley Building and Trump Tower. And all around you traffic buzzes",Michigan Avenue Bridge,May 2019,50
My favourite ,ian_dempster,Chicago's first skyscraper is probably my favourite building in this wonderful skyline.  So much detail and splendour  a building the city should be proud.,Wrigley Building,September 2018,50
My favorite building in Chicago,McWett,"It also was the first air-conditioned building in Chicago it really is a must see. Every corner looks like it’s a 90° angle, but  they aren’t, it was built without one 90° angle, take a close look and you’ll see.",Wrigley Building,September 2018,50
Beautiful building,Karen C,"A beautiful old building in downtown Chicago, you can't miss it! It's connected to the 2nd part with a skywalk, you can walk between the two. It's right on the river and makes for nice photographs.",Wrigley Building,September 2018,40
Great Building,Loren_L_1976,The Wrigley Building is a highlight of every river architecture tour but is also great to check out from street level on Michigan avenue.  ,Wrigley Building,October 2018,50
Stunning building,1945DJM,"One of the best buildings in they city and worth  looking at as well as visiting,  even on the ground floor. It has a fascinating back story",Wrigley Building,October 2018,40
"Easy Access, Affordable, Major League Fun",BillBixby219,I love Guaranteed Rate Field and can't wait until the Sox are back in town for my next trip.,Guaranteed Rate Field,April 2019,50
Wednesday day game for first ever Chisox visit,johnehope,"On recent vaca took CTA to Chisox vs Royals. Walked up to ticket window and got a “get in” seat for $4.65. Inside it was $1 hot dog day. Ballpark was mostly empty so got to sit in every section/tier every inning or so. Of course the game had everything: homer w bat flip, random pitcher injury, benches clearing beanball tiff, home team losing in extra innings, etc. With soda, peanuts, and CTA fare total out of pocket was less than $30. Area around CTA stations were safe and clean too.",Guaranteed Rate Field,April 2019,50
A Red Sox fan’s take on Guaranteed Rate Field,John A,"My wife and I have just finished our vacation in Chicago by attending a Red Sox-White Sox game at Guaranteed Rate Field. The fact that Boston won 9-2 might affect my review, but it was an interesting experience. The subway ride on the Red Line is convenient and uneventful.  People say, “ the subway on the south side ?”  The people in Chicago are wonderful.  They are friendly, helpful, and comfortable in their city.  The park is clean, perfectly maintained, and fun.  The food concessions are everywhere and good.  The fans are here to have fun and are not too serious about the baseball. NOTHING LIKE FENWAY.  This is not a religion to these folk. It’s all about the food and drink, like the rest of the city.  We had a great time and had great conversation with the people sitting around us. They should all experience a game in Fenway.  Loved it.",Guaranteed Rate Field,May 2019,50
A Classic,Bob J,If you're downtown you can't miss this classically gorgeous building. I prefer the view from Columbus. Make sure to walk inside the lobby.,Tribune Tower,November 2017,50
Piece of architectural wonder,TBSoCal71,The tribune tower is a great representation of what great architecture means in this city. There is so much to see and experience just walking down Michigan Avenue. Such variation and well-kept treasures. ,Tribune Tower,October 2017,50
Exterior of the building only.,Optoko,The exterior of the building has interesting remnants and artifacts from famous buildings and sites all over the world....take time to look at them,Tribune Tower,October 2017,40
Pretty to walk by,Dewey4321,Not a place to stop. They do not want tourist in here. Just a walk by. You can always make a quick walk by,Tribune Tower,December 2017,50
Very cool building,scottd272,I alway enjoy walking pass this building. I also enjoy taking pictures of this place. It is a great architecture to this city,Tribune Tower,July 2017,50
Nice Ballpark,Bosox61,"While it lacks the old time feel of the former Comiskey Park, the replacement Park is still an upgrade. The biggest drawback is that unlike Wrigley there is literally nothing next to it to eat and drink at. Still the ballpark has all the food amenities and beer selection of its north side rival inside.  Tickets are much easier and cheaper to get and the hassle factor considerably less.  Wide concourses, and plenty of concessions and restrooms keep the lines down too.  Nice Ballpark. ",Guaranteed Rate Field,May 2019,40
Scout seats,Matt_nz1,Would highly recommend these seats,Guaranteed Rate Field,May 2019,50
Wozzeck and Les Troyens - once in a lifetime opportunities,Rufus_K12,"We saw Wozzeck in March 2015 and Les Troyens in November 2016. Both performances were of the highest quality. The singers, chorus, orchestra, sets and costumes combined to make awe-inspiring events. We will cherish always the memories of these events.",Lyric Opera of Chicago,March 2017,50
Pro-tips in this review!  Attend the free pre-show discussion and pre-order cocktails for intermission!,Jane B,You know you've arrived once you have tickets to the Lyric.,Lyric Opera of Chicago,February 2018,50
"Beautiful setting, wonderful opera performance",318kathieh,We saw Cosi fan tutte on opening night.  What a gorgeous setting for a show.  Easily accessible downtown.  We stayed at LaQuinta and could walk.  There were many parking garages close.  Drinks were pricey - as one would expect at the opera.  We purchased the cups to we could take the drink in ... it added to the price but was an inexpensive souvenir.  We sat in the first balcony - row C - we could see very well and the super titles were easy to read. We also had a great view of the orchestra.  The seats were a bit tight for anyone who needs to stretch out their legs - so be prepared ... especially for a 3 1/2 hour opera! People wore everything from gowns to jeans - we were comfortable in dress clothes.  All of the staff was very nice and friendly.  Great place to see a show!,Lyric Opera of Chicago,February 2018,50
Experience the Lyric,JoeTrav,"Seats: Splurge, if you can.  Visiting Chicago? See if you can buy top-dollar seats from the hotel concierge.  Sometimes, they have the front row tickets. Enjoy.",Lyric Opera of Chicago,March 2018,50
Worthy stop 🛑 ,JimDeBerry,Lyric Opera is iconic around the world and a Chicago gem. The Hall / Bowl is a site to see for all. Great shows running right mow,Lyric Opera of Chicago,March 2018,40
So where are the trains,sharonkN5985EU,"This train station is so beautiful and in the heart of the city, it is hard to believe it is still a working train station.  The trains are so underground you don't see or hear them unless you are getting on or off the train.  Well done Chicago!",Union Station,May 2019,50
Wow!!!,kczek,"It was a real surprise, when I walked into Union Station to find out about my voyage on the ""City of New Orleans"" to New Orleans the coming day. I immediately recognized the main hall as the place, where Kevin Costner and Andy Garcia waited for Al Capone´s bookmaker in the movie ""The Untouchables"". The hall is a real eye-catcher. It was fun to sit there and read book after checking in the luggage for the trip to New Orleans. It made waiting for the train a pleasure.",Union Station,April 2019,50
Architectural Beauty,Gypsy_15976,"When visiting Chicago, dont forget to see the Grand Ballroom t Union Station. Try to figure out which staircase was featured in the movie The Untouchables",Union Station,June 2019,30
Easy traveling to Chicago,Stewy_33,Safe travels everyone!,Union Station,June 2019,40
Ok,tazzy1711,"It’s just an old building.  Interesting, but after the 10 minutes of looking at the architecture you’ve seen it.",Tribune Tower,September 2017,30
Unless you're a .......,thervp,"newspaper fan.  It is a beautiful old building when they really made beautiful buildings, but I can't say it's a must see.  I don;t think they even offer any tours.",Tribune Tower,November 2016,30
Very impressive building,monaHungary,We spent about 10 minutes to examine (genuine!) pieces from other architectures from around the world integrated in the exterior walls of the building.,Tribune Tower,September 2017,40
Beautiful and fun looking for famous pieces on the building,Z7444CTsarahr,A beautiful building but even more quirky and fun looking at the various pieces of famous landmarks that the designers ‘borrowed’ via their chisels and incorporated into this building. Love that it says what/where the pieces were borrowed from.,Tribune Tower,October 2017,50
One of Chicago's Treasures,Irishlass54,In addition to the fabulous facade the Chicago Tribune building has an interesting exhibit of artifacts from around the world that are cemented and labelled on its outer walls.  Want to see a piece  of the Egyptian pyramids?  Then walk around the Tribune Building.,Tribune Tower,October 2017,50
Well Organized,John E,"Well sign posted station with plenty of food stores. The amtrak part is on its own and the lounge was very comfortable and provided tea, coffee etc but did lack snacks. ",Union Station,May 2019,40
Great Find and Free!!!!,sharmaynes2016,Do not miss this!!!!,Money Museum at the Federal Reserve Bank,April 2019,50
Free Money (kind of...),pookala,Be advised you’ll need a photo ID to enter.,Money Museum at the Federal Reserve Bank,April 2019,40
Tween and Mom,Maps796553,My tween boy really enjoyed it. We walked through at his pace so not every sign was read all the way through but it was “cool.” He liked seeing the various examples of a million dollars and the interactive shows about moving money btw banks and how the Fed affects the economy,Money Museum at the Federal Reserve Bank,May 2019,50
Free Government Hand-Outs!,Lynn C,"This totally free and interactive museum is in the heart of the Financial District in downtown Chicago.  It is geared to both younger folks and older alike.  There are quizzes on your financial knowledge, photo ops, history lessons on the different bills and series, and a freebie gift of a bag of shredded money!  You can also take home a memento photo of your and friends beside a briefcase full of cash.  About an hour tour.",Money Museum at the Federal Reserve Bank,April 2019,50
Impressive Gothic Architure,janecS1001XO,We visited the Tribune  Tower  Plaza while on our way to the new Apple store.  What a contrast and what a view.  The Tribune Tower is currently getting some outside maintenance.  ,Tribune Tower,September 2018,50
The Tribune is gone--but not the historic relics,Taylor B,"As a retired newspaperman who worked for the Chicago Daily News and Chicago Sun-Times when Chicago was a four-newspaper town, I never dreamed that one day the Chicago Tribune would not occupy Tribune Tower. It's like the Cubs not playing in Wrigley Field or the Yankees not playing in Yankee Stadium. But the iconic building still stands, giving locals and tourists an opportunity to admire the magnificent neo-Gothic skyscraper and the  many rocks and bricks from a variety of historically significant sites that have been incorporated into the lowest levels of the building and are labeled with their location of origin. Located at 435 North Michigan Avenue, the original Tribune Tower was built in 1868 but was destroyed in the Great Chicago Fire of 1871. The current building, designed to be ""the most beautiful and distinctive office building in the world,"" was constructed between 1923 and 1925. It is 462 feet tall with 36 floors and ornate buttresses surrounding the peak of the tower. They are especially visible when the tower is lit at night. American artist Rene Paul Chambellan carved images of Robin Hood and a howling dog near the main entrance to commemorate architects Raymond Hood and John Mead Howells. He also contributed his sculpture talents to the building's ornamentation, gargoyles and the famous Aesops' Screen over the main entrance doors. But the highlight of the building is the brainstorm of then publisher Colonel McCormick, who requested that Chicago Tribune correspondents bring back rocks and bricks from important sites throughout the world to place in the lower levels of Tribune Tower. Today, walk around the building and note stones from the Alamo, the Great Pyramid, the Taj Mahal, the Parthenon, Notre Dame de Paris, Abraham Lincoln's Tomb, the Great Wall of China, Independence Hall, Corregidor Island and the Hagia Sophia. In all, there are 149 fragments in the building. In recent years, additions included a stone from the Berlin Wall, a rock from the Moon and a piece of steel recovered from the World Trade Center. Tribune Tower was declared a Chicago landmark in 1989.",Tribune Tower,September 2018,50
Historic building ,ian_dempster,One of the most beautiful buildings in the city. Looks great from the river and nearby bridge.  You can go in the foyer which is well worth doing.,Tribune Tower,September 2018,50
Under construction,Sandtravel2,It is sad to see this old building undergoing a conversion.  it was nice to see it as it was meant to be - part of the communication network of Chicago.  ,Tribune Tower,September 2018,10
One of one of the most memorable buildings in Chicago,McWett,If you get a chance to go into the lobby You will see quotes from many famous Americans. These quotes are even more relevant today,Tribune Tower,September 2018,50
One of the options to consiver for your child's education,AlVoyager,"There is a SpotHero parking lot near the university where you can park 6 hours for $3. They provide you with the campus tour where you can ask any questions about admission and student life. Unfortunately, there is no free Wi-Fi for visitors in University buildings.",University of Chicago,August 2018,50
Gorgeous Campus,Robert E,I love architecture so I am bias....but this is an incredible campus! So many different things to see and do here!  ,University of Chicago,September 2018,10
Stunning ,ian_dempster,This is a beautiful university complex all covered in ivy . Grand halls and chapels that remind me of Oxford and Cambridge. ,University of Chicago,September 2018,50
Nice campus,TP454,"This is really a nice oasis at the south end of Chicago. The campus is nice, with the exception of air traffic overhead, it is a quiet campus. There are a few smaller and secluded places to spend quiet time. ",University of Chicago,September 2018,50
Mix of modern and historical architecture,rajivdst,"Attended a conference for 3 days. Beautiful campus. One can see mix of modern as well as historical architecture. I was told that old buildings have unique architecture, very different from other places in USA.",University of Chicago,September 2018,50
Dome Theater is a must,BeakerTX,"We stopped by mid-afternoon following a long morning at the Shedd.  They accept the ASTC reciprocal pass, saving some money.  Picked a show in one of the domes, and off we went.  The main dome theater was an amazing picture.  Sit near the back to get the best view.   There was live narration, which I could have done without, but the picture was worth it.   The rest of the planetarium has some great history and some interactive exhibits.  Good to kill a couple hours will small kids, maybe half day if you take your time without kids.  ",Adler Planetarium,July 2019,40
Fly me to the moon!,cgoncal,"Wow! Great exhibits, so much to do, explore and learn! Visited with my 7, 12 and 13 year old. Purchased the Go City 5 day pass. Entry included 2 shows of choice. Highly recommend a visit here. We had a blast!",Adler Planetarium,July 2019,50
2019 2:30 PM To the Moon & Beyond: A Conversation with Jim Lovell & Beth Moses,Vacationer642579,We could not see Jim or Beth.  I would suggest putting them on a platform or having screens located around the room.  We were disappointed but still enjoyed the listening part of the conversation,Adler Planetarium,July 2019,30
We were disappointed.,CMC36,"We are a couple in our late 30s/early 40s and we found the Planetarium unimpressive.  Although we liked the 2 shows we saw (Planet Nine and Skywatch Live), we had almost 3 hours to kill there.  They had extended hours on the Saturday we were there, but we definitely didn't need that time to see it.  We arrived around 2 and the shows were sold out until 4:15 and 5:15.  We saw the exhibits, and while the moon stuff based on Apollo and Gemini missions was interesting, there was not enough to see to fill the time.  Also the cafeteria closed at 3 and there was nowhere to sit inside.  The narration of the shows was geared toward children and we found it a bit annoying/condescending.  It was crowded and the layout of the galleries was a bit confusing.",Adler Planetarium,July 2019,20
Great Visit,Chiaet,The entire staff was extremely helpful. Very east to get in and shows were fantastic. Cant wait to go back.,Adler Planetarium,July 2019,50
An awesome park in the heart of the Loop.,traveltheworld012,"My favorite art exihibit here is Agora, designed by Polish artist Magdalena Abakanowicz, stands on the southwest side of Grant Park, and is one of Chicago's most recognizable installations. Made up of 106 9-foot headless and armless torsos fabricated from cast iron, the sculpture is inspired by a Greek plaza but relates to bustling, high-paced Michigan Avenue. The figures are stationary but posed as if moving in countless directions, providing a visual representation of the concept of going everywhere and nowhere at the same time.",Grant Park,March 2019,40
Art display of Pants in the Park,chickandbeast,Very eye catching display makes you look twice.,Grant Park,February 2019,50
Must see,Doornailla,"This is so breathtaking. See it in person, it’s surreal. The detail is extraordinary and the story behind it is so touching.",Grant Park,March 2019,50
Chicago’s Front Yard,Barbara S,Bored eyed by 3 main streets and Lake Michigan there is so much to do at this park. I recommend going on their website and check out upcoming attractions and concerts. Free movies in the park on select dates. There is easy access to other parks and attractions.,Grant Park,June 2018,50
Fabulous and filled with so much for families to do!,2beans2000,-and more!!,Grant Park,April 2019,50
Cool Church,ridge83elcamino,"We were down in the City and my wife said ""we have never seen Holy Name Cathedral lets go"". So we did. It is a beautiful church. I don't know when it was built, but workmanship like this had to be done a long time ago. When you walk inside it taks your breath away. Just beautiful. If you are looking to see some of Chicago sites, I would recomend this one.",Holy Name Cathedral,October 2018,50
Nice church,Lobstermountain,De damage done by the shooting was repared by placing new stairs in front of the church. But on the right side a partial cross is still to be found. Underneath that cross the (lime)stone was shot badly due to the assasination.,Holy Name Cathedral,May 2019,40
Beautiful cathedral! Must see when visiting Chicago!,patshea2016,"Holy Name Cathedral is a must see for any visitor to Chicago.  While I have been here many times, I am in awe when I am there!  This is a beautiful Catholic Cathedral just outside the center of downtown Chicago. When you are in downtown Chicago, you can walk just about 8 blocks or take a city bus  to this conveniently located cathedral on Chicago’s near north side.  There are Masses scheduled daily including a 12:10 afternoon Mass.  Your trip  to Chicago should include a visit to Holy Name Cathedral!  ",Holy Name Cathedral,March 2019,50
Beautiful Cathedral,902alr,Beautiful church and stained glass windows. Seat of the Arch Diocese of Chicago. Enjoyed the local priest conducting a group baptism,Holy Name Cathedral,May 2019,50
Wonderful Cathedral,35marin1150,"We enjoyed a wonderful Father's Day mass in this beautiful cathedral, and were treated to a fantastic choir's final performance of the season.  Wonderful light through stained glass, amazing organ!",Holy Name Cathedral,June 2019,50
Nice little children's museum,kasmith906,"My 3 year old had fun! We didn't plan on going to the children's museum, but it was raining so we needed to find something to do inside. I think this is something that is good for young kids, so if you have older kids I would probably skip it.",Chicago Children's Museum,June 2018,40
LOVED,Jaxx0711,"Wish we could have spent more time here. It was wonderful, my 2.5yr old just had the best time! Lots of different things to play with! ",Chicago Children's Museum,July 2018,40
Lots of fun 👍,Chris2734,Took a four and seven year old and they had a blast.  There was lots of hand on exhibits to entertain them.  It would be a good way to spend 1/2 of a day with children.  ,Chicago Children's Museum,July 2018,50
"OK for young kids or a rainy day, but limited in scope",AddNewStop,"If you are caught in the rain in Chicago like we were, this is a decent option for young kids to run off steam with interactive activities. If your kids are older (our daughter is 10) or you are expecting serious science exhibits like the ones in Boston or other big cities, you will be disappointed. This museum is very small and definitely geared towards kids 1-6. That said, kids that age seemed to love it and it was nice that the activities were all themed to Chicago and its attractions (e.g. the Lake, the architecture, wind, etc)",Chicago Children's Museum,July 2018,30
Expensive for what it offers,engped,This is a good refuge for a bad weather day but the price asked for tickets does. It measure up to what they have to offer.,Chicago Children's Museum,June 2018,30
a beautiful treasure to see!,sheenazzy,this is a beautiful old theatre. We were there for the Pretty Woman -pre-premiere of the musical. The buildings decor is spectacular! the staircase is breath taking! my friends and I were in awe of the beauty throughout this place. It is well kept and clean. The experience was impressive. We had a great view from our seats. My suggestion is check  your view before you buy your seats because some spots are blocked a bit. it's handy to get to by taxi..There is lots ofshopping and great food nearby too,James M. Nederlander Theatre,March 2018,50
Historic Place,matjaz2002,Just walk by and take it in. It is beautiful building. ake the time to see and explore the architecture nuances of this glorious place. Built in the 1920's. Wish we had time to see a show there. The show was playing was about Cher and we weren't too excited by that so we skip. Maybe next time.,James M. Nederlander Theatre,August 2018,40
Oriental Theater,Cosmopolitan261485,"Saw ""Pretty Woman"" there.  Lovely theater, reminding me of the Fox Theater in Detroit.  Very ornate... eye candy!",James M. Nederlander Theatre,April 2018,50
Oriental Theater - Broadway in Chicago,Angela A,"All Chicago has a wonderful Theater District.  On October 5th, 2018, my family and I enjoyed Charlie and the Chocolate Factory at the Oriental Theater.  The venue is amazing, come early to view the beautiful theater, then enjoy the show!",James M. Nederlander Theatre,October 2018,50
Beaurtiful,hcgilkey,"Just saw Charlie and the Chocolate Factory which was made more magical by the theater itself. Beautiful, clean, and well maintained, we love seeing shoes here. ",James M. Nederlander Theatre,October 2018,50
Spectacular city views,CaptTrouble,"This is a well-situated beach with amazing city views.  I'm not much of beach-goer, more of a walk across the beach type.  This is a relaxing place.",North Avenue Beach,June 2017,50
Nice beach by Lincoln Park,wilslisa,We went to this beach after walking around Lincoln Park Zoo. It gets pretty busy on a sunny day but we managed to find some open spots to lay out by walking further down the beach. There’s restaurants and bars but no alcohol on the beach. ,North Avenue Beach,May 2018,50
Busy but good.,Scuffy13,Parked half a mile away and walked over the bridge. Sand was nice. Water was very cold. Had a great time.,North Avenue Beach,June 2018,40
Beach AND big city,Sol W,"I came in May and the weather was amazing, water was warm (enough). Unique space.",North Avenue Beach,May 2018,50
Hot sand cold water,Gary W,"Great beach with all the facilities ie change rooms, rest rooms, bar, cheap eats, foot shower. Sand is lovely and clean but hot. Water chilly but enervating. Surrounded by walking, jogging and bike trail. Lifeguard also present.",North Avenue Beach,June 2018,40
Worth a Visit!,barb777,"This is a great museum! You can find wonderful art here by such talented artists. They usually have a Carmen Lomas Garza on exhibit, which is always a treat. It is especially interesting during the Dias de los Muertas exhibit-gorgeous! They have a nice gift shop, too, with very interesting items for purchase. Chicago is lucky to have this hidden gem of a museum.",National Museum of Mexican Art,May 2018,50
Vibrant!,lobstaluva,"Vibrant is the first word that comes to mind when describing this delightful museum.  The brick facade is interesting with its design.  Inside there are photographs, murals, sculptures, paintings, artifacts, pottery, and anything else connected to the Mexican culture, much in vibrant beautiful colors.  There are signs of explanation that are very helpful.  We especially liked the History of Mexico that was broken into five sections, pre-Cuauhtemoc to the present. There is a neat gift shop and bookstore.  One of the largest collections of Mexican history, this little gem of a museum is free!!",National Museum of Mexican Art,September 2018,50
Day of the Dead Happiness,Kathrine S,Couldn't have timed my visit better.  This museum is outstanding!  I learned so much on my visit and got to celebrate Dia de los Muertos!,National Museum of Mexican Art,November 2018,50
What a Gem of a Museum in Pilsen,Lisa W,Mexican art and ofrendas are a beautiful part of the Pilsen neighborhood of Chicago. A walk through all the galleries requires at least an hour. ,National Museum of Mexican Art,October 2018,50
Brilliant museum embedded in its community,EratosthenesCyrene,"This is such a wonderful museum. We go there every year for the Dia de los Muertos ofrenda exhibit and usually once or twice a year in addition. Admission is free which makes it easily accessible for school and community groups in the area, but we always get a membership which both helps support the museum and gives you a discount in the spectacularly good gift shop. The shop and particularly the Christmas Mercado are probably the best ways in the city to buy high-end craft art from Mexico or made by Mexican American artists. The permanent exhibit is very strong and the two smaller rotating ones are often excellent and politically smart. The larger rotating exhibit is where the ofrendas are in Oct/Nov and hosts eclectic exhibits the rest of the year. Definitely worth a visit for art lovers visiting Chicago (esp. in Oct/Nov) and mandatory for anyone interested in Mexican American art and culture. Fantastic neighborhoods (Pilsen, La Villita) on either side mean you can spend the day checking out murals, eating fabulous food, and supporting local businesses.",National Museum of Mexican Art,October 2018,50
Great venue,Sabgio5,"My husband and I went to see Shakespeare in Love and had an amazing time.  Cast was great and fun, theater vintage look and feel. I would definitely go back. ",Chicago Shakespeare Theater on Navy Pier,November 2017,50
Excellent Theatrical Experience,Rita K,"We are visiting from the east coast where we attend Hudson Valley Shakespeare performance annually.  We also have seen wonderful Shakespearean performances in NYC on Broadway and in Washington,DC. This past month we were treated to a spectacular performance at the Navy Pier and have to say that the cast, costumes, staging, etc were all world class! And the theatre itself is a magnificent venue. This is a great resource for the city of Chicago and one worthy of repeat visits!",Chicago Shakespeare Theater on Navy Pier,October 2018,50
"Nice, small venue experience ",trtraveltheplace,"We saw Peter Pan here and it was a very cool show. Make sure you use parking for the theatre, it’s a nightmare around Navy Pier otherwise. Plenty to do around the theatre. Make sure you don’t get seats at the corners of the theatre. You can see the “peninsula” of the stage but not most of the typical stage. A lot of the action is out on the peninsula, but there are still some things you miss. Very nice and helpful staff",Chicago Shakespeare Theater on Navy Pier,August 2018,40
Macbeth,Kaumudi P,"Saw Macbeth here. Great stage, theater, acting and production. The location next to the lake is also amazing.",Chicago Shakespeare Theater on Navy Pier,May 2018,50
Lovely intimate theatre,Anne B,Looking forward to going again,Chicago Shakespeare Theater on Navy Pier,October 2018,50
Gorgeous views,WorldTraveler026,Loved looking at the city from this vantage point but it did require a lot of jockeying to see. It is understandable that it is crowded but can be frustrating. ,Michigan Avenue Bridge,April 2019,40
A special bridge in a special city,RonWamberal,"Chicago has so many wonderful bridges and this may not be the best or prettiest. But its location makes it special for viewing and looking at the myriad of wonderful buildings surrounding it. Although one should walk over it and see both sides, it is enjoyable just standing there and soaking up the ambience of one of the world's best cities.",Michigan Avenue Bridge,April 2019,40
Picturesque,AMohsen,"Picturesque place by the beauty of Chicago River, boats, city skyline, amazing buildings, and nice statues.",Michigan Avenue Bridge,May 2019,50
Iconic photo spot,johntpt,"After the Bean, the Michigan Ave bridge is probably the next most popular spot for selfies in Chicago. Many classic buildings can be found for your selfie background.",Michigan Avenue Bridge,June 2019,50
Walking fun,Paul G,Beautiful Michigan Avenue is a great day walking around Chicago. The bridge is the gateway to Magnificent Mike and all the fine stores and restaurants. ,Michigan Avenue Bridge,June 2019,50
Great to see,Wine12017,We saw this on the hop on hop off bus and was really worth seeing. However we did not go inside. I think it is a Walgreens at the bottom.,Wrigley Building,November 2018,40
Beautiful by-gone era Chicago skyscraper,Clydewhi,"A beautiful terra-cotta clad early skyscraper. You can enter the elevator lobby, and the shops. You don't really have to get inside, just walk around it and look at it. ",Wrigley Building,December 2018,40
"Beautiful at day, beautiful at night, simply beautiful",KJN-Family,One of our favorite buildings in the cityscape of beautiful and stunning Chicago. The best views are from the DuSable Bridge and from the riverfront between Michigan Avenue and Wacker Drive. An architectural marvel!,Wrigley Building,January 2019,50
Its a Landmark,Deepti111,When ever i am meeting a friend in the city i try to meet around this building. I can walk around the riverside and watch it sit their majestic and glamorous.,Wrigley Building,July 2018,50
Bummer that it is Currently under renovation,bjlemont,My favorite place to show out-of-town guests. The architecture but especially the rocks from all around the world! Sorry that they are under construction but come back and find your home state or country rock!,Wrigley Building,February 2019,50
Great place to take your fun loving baseball kids,John W,This is a great place for the kids. My son spent so much time practicing batting and throwing a ball.,Guaranteed Rate Field,August 2018,50
Sox game with nephew,mikeembach,"Got a deal, got to see a game and a half as they finished the game from night before all for price of one ticket! Sox won the opener in the bottom of the 9th and rallied to win the night cap after giving up 3 runs in the first! Nice way to spend the evening, even if it was a bit chilly, 50 degrees at end of game but the rain held off until the drive home! Really nice selection of dining options, had to get my Vienna hot dog fix and of course a churro for dessert! Great last night in town",Guaranteed Rate Field,May 2019,40
Nice Stadium....,ShawnP451,Great sight lines....we were in the top level infield and it was great....I prefer upper level for most stadium sports and I wasn’t disappointed.,Guaranteed Rate Field,May 2019,50
"Great Food, great atmosphere, kid friendly ",ChadHT,"I love taking my kids to see the White Sox here. Coming from the NW burbs, it’s an easy drive unless it’s rush hour. The food is fabulous. My personal favorite at the park would be the Elotes(corn off the cob). They have an enormous craft beer selection and so many fun activities for kids. A lot of people say that you should stay away from the upper deck but the upper deck behind home plate is a great view and is usually inexpensive. ",Guaranteed Rate Field,July 2018,50
Not a bad Stadium,Matthew_Stivers,Like to going to other ballparks to either watch a game or take a tour of the stadium.  The view of the field from the lower level is pretty good.  Sat on the third base side closer to left field.,Guaranteed Rate Field,June 2019,40
Saw Jesus Christ Superstar 2018,nolamac62,"Very nice and helpful staff. Seats were narrow but leg room was sufficient. Mostly had souvenirs for the Lyric, just a magazine for the Lyric that had cast info for JCS. Mostly an advertisement for the Lyric. Coffee mugs, t-shirts was about it. No Poster or Program for Jesus Christ Superstar.",Lyric Opera of Chicago,May 2018,50
Spectacular productions,Sally K,"Not an opera fan, but yearly they feature a play..musical....just finished with seeing JESUS CHRIST SUPERSTAR....IT WAS MAGNIFICENT....the production..the caliber of actresses/actors is unmatched...have seen SOUND OF MUSIC...another outstanding performance and looking forward to WEST SIDE STORY next year....probably will purchaser tickets soon...so impressed with the  who,em production...",Lyric Opera of Chicago,May 2018,50
"Excellent venue, intimate and beautiful.",reitj,Went to see Jesus Christ Superstar and sat in 4th row.  What an absolute delight! The seating was comfortable and the decor was nice.  Loved that the venue was small enough to get to drinks and bathroom easily.,Lyric Opera of Chicago,May 2018,50
Beautiful venue and a fantastic experience.,JMO63,"We saw Jesus Christ Superstar at the Lyric Opera and what a wonderful experience. We sat in the dress circle, row C and our seats were perfectly centered with the stage. I wish I had gotten seats a bit closer to really see the actors faces, but their voices truely displayed their emotions. The seats were very comfortable and I am a larger person who didn't feel smashed in. We ordered the cheese plate and drinks to ge ready at intermission and there they were all set up and ready. Very nice touch. The Lyric is a beautiful place and the staff is great and welcoming. Took a while to get a taxi when we left which did surprise me, but that was a minor detail.  Try the Lyric for a show.",Lyric Opera of Chicago,May 2018,50
