title,travel_date,rating,place,usr_code,review
In & Out,February 2019,50,Port of Miami,suzanne c,Have Used Several Times. Organized- Easy To Catch Uber or Taxi Drop Off Right In Front Of Terminals. 
Amazing Skyline,August 2019,40,Port of Miami,tresmelange,"I had to go to the Port of Miami to take a day trip from the city to Bimini Bay (Bahamas). The area was easy to navigate and once you're on the boat, you have a great skyline view of the city!"
Dishonest Shuttle Service,September 2019,10,Port of Miami,eleexds5,"Beware of the Shuttle that takes you from the Cruise Terminals to Fort Lauderdale.  The one company called Metro Shuttle Service with phone number (954) 600-1562 attached to the side doors. If you ask of they take Credit Cards, they will say yes but the driver will say no. Then he holds your baggage hostage. We had to call the number an give our info over the phone. And he overcharged me. Charged everyone else $30 for two people, but charged us $40 after he agreed to charge only $30. I called him an he said he will take care of, just send him the info on a text. I did what he asked but he still let the transaction go through. So now I really can't trust them. Oh and the driver started assaulting people that were trying to get their bags. This is a shady company. They will rip you off."
Great Cruise Port,September 2019,50,Port of Miami,GeorgeW1354,"I've grown to like cruising out of Miami.  Beautiful new terminals being completed.  RCI is done and great. Norwegian is under construction.  Two ways to get there, the tunnel or the bridge.  Once all of the construction is done it will be even better.  No entry security check like you have to endure in Fort Lauderdale.  Cabs are plentiful and well organized by the staff."
Fast Embartment,October 2019,40,Port of Miami,478camen,This was one of the smoother trips to Port of Miami - Shuttle service got us to the port quickly dropping us off at our ship and the Carnival line wait time to get on the ship was less than 40 minutes so no complaints there.   The port in general was not very crowded when we arrived but shortly after we got inside the terminal there was a much  longer line so glad we left when we did
Bring your own supplies...,November 2019,40,Venetian Pool,Whitney S,"A bit of a mixed experience here. This is a truly unique place and you should definitely check it out. I can't believe they allow you to go in the caves and bask on the rock formations - it's so cool. It's fresh water and is cool, clean, and refreshing. On the other hand, they have a nickle-and-dime kind of business model, which I'm not crazy about. Definitely bring your own towel - they will not have towels available unless you choose to purchase one for $8. They also make you pay to rent lounge chairs, which just feels a step too far. You certainly can get by without doing so, but it's not the comfy poolside experience that would be common at a hotel, for example. There is a cafe on site, that we did not try. I also think we had a nice time in part because we came on an off day when it was a little cooler, so it wasn't crowded."
Deering Estate,September 2019,50,Deering Estate,387indy,"The grounds are 420 acres of beautiful park in southwestern Miami. Charles Deering was from Chicago. The land was once were ancient Tequesta Indians buried their dead. In 1920, Deering had a three story Mediterranean House built, he died there in 1927. The land includes the older two story Richmond Cottage built in 1896 ( one of Miami's oldest structures, once an Inn). I went on Sept. 28, for a Ghost Tour, they have tours in Oct. & Nov.."
Nice 1/2 Day Trip,July 2019,30,Deering Estate,Daniel F,Friends came for visit and decided to go to Deering Estate. Was let down as I wanted to impress my friends. It is historical and needs preserving but is over rated. Wished there was more historical info in guide pamphlet. It is a nice diversion from other sites but will avoid going back.
Had a wonderful event here.  It is a must see while in Miami,November 2019,50,Deering Estate,Joel C,This is a really nice attraction and give you great insite into early Miami days.  It is must see place and worth the time. 
glorious setting for stylish events,September 2019,50,Deering Estate,charlescV1086IU,"Go when a concert is playing there. Nice acoustics ,""gemeutlich' atmosphere , meet other people you would like to know"
Gates closed,December 2019,10,Deering Estate,Jude46115,"I’m sure it is a fascinating place, but we arrived at 4:05 and the gates closed at 4pm an hour before the museum closes, leaving us out of luck! And when we tried to walk to the pier a belligerent guard was blocking the way!!! Foul mouthed and rude!!!"
Beautiful view,May 2019,50,Collins Park,Holdthebread,Wonderful spot to stop and relax. Greenery right by the water. Great spot to people watch! Beautiful spot
Little well developed park ,May 2019,40,Collins Park,StephenCr0ss,Very nice little park that is calm. Trees nicely spaced out and it’s a quite place. Well worth a visit and a few interesting items to see (photos attached). 
Still a nice place,May 2019,30,Collins Park,createparadise,"An oasis in the busy city, palm trees within green lawn places.Quiet and cool, less people than at the beach and there is shadow if you need some."
PERFECT SPOT IN SoBe,June 2019,50,Collins Park,bosox_brit66,"This is the best place in Sobe to enjoy a quiet walk with headphones ,people watch and trust me you wont know where to look on weekends or enjoy a pleasant walk during the morning."
Great for a Stroll,October 2019,40,Collins Park,TheDealBeans,"At the top end of Collins Avenue this is a lovely place to stroll or sit and watch the world go by. Beautiful setting with trees and a few sculptures, sit down, relax and chill out. Just what you need."
Barrel of fun,September 2019,50,Monkey Jungle,smcdaniel,What a neat place. Anyone that likes wildlife will love this place. Jasmine did a wonderful job w the gorilla exhibit. King is his nameand he's 50 yrs old. Lots of baby monkeys
Under construction,March 2019,20,Port of Miami,John W,We did back to back cruises.  Had hoped to be able to walk from RCL to Norwegian - a distance of about 1000 yards.  Nup.  During construction work there are no paths!  'Tram' stops well short of RCL and no way to get through other than by taxi.  So $USD20 for the miles to get from Eurostars Langford to RCL terminal and $USD15 to get the 1000 yards from RCL to Norwegian!  Might be nice when it is all finished.  Hopefully they provide paths!
They have made improvements on service,July 2019,30,Port of Miami,Cruiselover1963,Good job.
Very easy,July 2019,50,Port of Miami,earsropen,I have taken 3 cruises out of here in a year and the experience has been great.  Very easy to park and staff has been very friendly.
Cruise Boarding Carnival,August 2019,50,Port of Miami,PaulyPauly2014,"This place is a happening and a busy place! While preparing and boarding for our cruise and so forth this place was like a machine one step to another! The porters were constantly going above and beyond The call of duty, to make every step fun, easy and smooth! Miami Port! Kudos...."
Cruise,August 2019,50,Port of Miami,313SamuelA,Our family of 8 sailed to the Bahamas on Royal Caribbean international on August 4 that sailed from the port of Miami.  The process went smoothly and the signs were well marked. 
Great family trip,September 2019,50,Monkey Jungle,DCCR336,"What a great experience. It is nice to walk around to feed the monkeys in their little pails, but where the real fun is, is the rain forest adventure. Yes it is pricey, but so worth it. The look on the kid's faces when the monkeys were on their heads was priceless. As soon as you walk in the monkeys are all over you. All of us enjoyed it. Seeing the gorilla was fun too. He seems happy and well taken care of. The trainers are extremely knowledgeable and answered all the questions asked. I would highly recommend a visit to Monkey Jungle!!!"
Great Time; Rainforest Adventure Tour Totally Worth It,October 2019,50,Monkey Jungle,969nateb,"All in all, a great visit!"
So much fun!,October 2019,50,Monkey Jungle,Staschek88,"My wife and I enjoyed everything about the preservation, especially the feeding experience in the forest. Highly recommended!!"
Awful,October 2019,10,Monkey Jungle,Iwcsuu,The park is really small there is nothing intrested in it just couple of monkeys in the cages. We payed a lot for nothing. You cannot feed the monkeys just if you pay extras. I feel myself very miserable because i travelled a lot for nothing. It take 10minutes to walk around. If you read this here is my advice: dont go there!!!
Impressive Renovations,October 2018,50,Miami Beach Convention Center,buddhakouri,"I came here after the renovations have been completed to see the Miami Int. Auto Show of 2018 after being cancelled in 2017 after Hurricane Irma and the renovations. I am very impressed with the renovations at the convention center. The entrance is a two-story glass lobby that is more than four times the size as the old one. It’s now a great place to go if you want to see the Miami Home Shows, a boat show or most of all, the Miami International Auto Show. "
Recently renovated center,May 2019,50,Miami Beach Convention Center,RRaposoMiami,"Have been visiting this Miami Beach Convention Center for decades, from many Auto Shows, Home Shows to Art Basel and Graduations. Although they always have food and drinks, it's not what you go to the center for, its for the Event. Happily the new renovations finally have happened and the exterior alone makes quite a statement that this is not the same 1960s Convention Center. From the exterior to the new lobby, very modern clean and sleek looking. Now let's see how the parking area out front ends up looking. Glad to see it all finally happen."
Miami Beach Convention Center,July 2019,40,Miami Beach Convention Center,387indy,"Renovated since hurricane, looks great, new facilities, great staff, lots of parking. They do lots of shows, July 4-7: Florida Supercon ( a comic book, video game show ), they have celebrities that do Q&A sessions some with films."
decent hall,August 2019,50,Miami Beach Convention Center,135clintt,"we went here for a BIG SHOW convention and the place was really huge and well laid out, perfect place for a convention."
VG,December 2018,40,Miami Beach Convention Center,BigoBoca,The rehabilitation to this structure improved the look of the nondescript building that had been there for many years.
Beautiful Photo Art,January 2019,50,Lik Miami,GeorgeFMarkhamON,"This is a free museum, and you might just buy an artwork to take home. Much better than the politically correct-infused National Geographic store nearby."
Worth a stroll but do not buy! ,February 2019,30,Lik Miami,CeciT_13,Stunning photography but prices are way too high. This is not a good investment. Read the reviews on the internet before making a purchasing decision. 
Worst experience ever,June 2019,10,Port of Miami,Androcasper,Dont waste your vacation and money with them
Well organised,June 2019,40,Port of Miami,benleigh77,"The port is well set up and seemed easy enough to get around.  Just be cautious of the arrival of ships as there are taxi's, ubers and shuttles everywhere and they just stop with no regard for anyone.  The carparks are easy to access once you know which one is best for you.  Best place to park for a cruise as it's very convenient which you do pay for but worth every cent to me.  It's important to remember that there can be over 5,000 people on one ship so that's a lot of people looking for taxis and shuttles.  The other carparks can't handle the volumes regardless of what they say.  Port is very clean, well kept and very secure.  "
Best experience ever at a cruise port.,June 2019,50,Port of Miami,Mark31651,"We started our cruise with Royal Caribbean here and it was a very efficient boarding process.  We checked in on line, dropped our suitcases outside (later delivered to our stateroom door), were directed to an esculator, showed some id's, directed to a large waiting area with chairs, waited just a few minutes, directed to the ship (by group designation), showed our id's and welcomed aboard.  Wow!  The building is stunning, with lots of glass and art!"
Good cruise port,June 2019,50,Port of Miami,Twinsmom99,We have used terminal A twice in the past four months. I thought this cruise port was well organized and efficient. We didn’t have any problems checking in for our cruise. It was quick to get on Royal Caribbean’s ships. Getting an Uber at the end of the cruise was a little tedious but what do you expect with so many people exiting the terminal?
"Great port, easy to board your ship",August 2018,50,Port of Miami,Stefan6913,"Port of Miami has it down to a science when knowing exactly what to do with its passengers and how to get them on the ship quickly and without any problems.  I'm so impressed by this port that I will be sailing out again in a few months.  Granted the cruise line I was on, the ship was very small so it had a limited number of passengers which made things much easier.  Lines that have ships with 4,000 or more passengers, I can imagine it is longer to get onto the ship and through the various processes to get onboard, but from everything that I saw they know exactly how to keep things moving and regularly do this so its no big deal for them."
Beautiful ,February 2019,50,Lik Miami,danfriedmanmd,Such a wonderful gallery and the curator was amazing! Ask her to show you what happens to these incredible photographs in different lighting. 
Beautiful Art - Very Unique,July 2019,40,Lik Miami,Mdefil23,This is one of the coolest spots on Lincoln Road to see after dinner. You'll be amazed at some of the pieces. It's just very expensive.
Wish I was Rich,March 2019,50,Lik Miami,Voyager789044,Gorgeous photos. I want them all. Worth seeing even if you can't afford them. What a special collection! I live down the street and frequently go in to put me in a great mental space.
Place must have seen,December 2018,50,8th Street Designer District,VALENTIN02_58,Comparing this side to the one 8 years ago ist unbelievable what has been created since then.designer shops as well as galeries has been set up definitely a place which should be visited when in Miami 
A place to be and a place to be seen,January 2019,50,8th Street Designer District,A. V,We walked around this place for hours. Lots of very expensive stores. But window shopping is great! You see thinks you enjoy them and your wallet does not suffer. This place is very interesting. Do visit!
Magic in the middle of nowhere,April 2019,50,8th Street Designer District,Michael L,You will not believe what you will see
Conspicuous consumption,June 2019,30,8th Street Designer District,huggio,"A nice place to walk, and handy for shopping if you're in to bling. I wouldn't make a special trip just to see it."
Nice Area for Window Shopping,October 2019,40,8th Street Designer District,TheDealBeans,"This is a nice area to walk around an window shop. Plenty of interesting 'Arty' type shops to look in. Nice if you are in the area, but wouldn't go out of my way to get here."
Royal Caribbean Terminal A,April 2019,40,Port of Miami,WannaBeCruising,"I noticed that the Lyft driver got about half way in the terminal then just disappeared.  Another Lyft driver was automatically requested.  This happened several times.  Then, I got a driver who showed up.  As we walked over the driver cancelled.  Then he picked up the man standing next to me.  I told him he was my driver and he said he was not.  I had his picture, vehicle and license plate on the app.  He refused me, so I had to request another driver.  The same thing happened.  Halfway in the port they disappeared and another driver was requested automatically.  I spoke to this driver and he said he had never heard of Zone 8 and was being sent out of the port.  He finally found me and got me picked up and to the airport after waiting 45 minutes.  Other people were getting Lyft drivers so I don’t know what I did wrong.  I contacted Lyft and they did know either.  They said they were disciplining the driver that cancelled me.  I was told by our driver that where I was standing was brand new.  I really don’t know."
Easy process to get through Security and Employees Wonderful!,October 2018,40,Port of Miami,Hialeah73,"Very easy process, all very organized. I would say leaving a car that you drove to port in one of the parking lots on or off site was the biggest issue. Allow plenty of time to park and wait for a shuttle. Ours had a very long line of people waiting. It took the shuttle bus several trips before it was our turn. This part was a bit stressful with your family waiting at the port. If everyone dropped off the traveling partners at the port. Then parked it would move faster. As many of the delays in getting the shuttle was 6, 8 10 persons traveling together all trying to board the shuttle. If it was one or two persons per family it would be better. Also, upon return there again was a delay that can not be avoided as they need to have more shuttles since whole families ride together to get the car."
Easy Port,April 2019,40,Port of Miami,imdarkside,This is simply a port to get on your cruise ship. Not a tourist site to see.  However this port entry is easy to get into and out of.
"Quick, efficient staff",March 2019,40,Port of Miami,gjoesimmons,"If you're not used to visiting a cruise port, they're huge and have tons of people.  But the staff here was well versed at quickly and efficiently moving everyone along to their destination."
Reggae Rhythm & Blues Cruise 2019,May 2019,50,Port of Miami,diamond012015,If you cannot find a sitter 
Nice facility but embarkation was chaos,April 2019,20,Port of Miami,Brian0ntheGo,"Our RCCL departure was a mess.  The facility was pleasant enough, but the port staff members, while friendly, were disorganized.  One person would tell us to do one thing and another staff member would come along and tell us to do the opposite.  Perhaps their issues stemmed from our ship arriving late, thus complicating the embarkation process, but things could not have become more chaotic.  The view from the port is certainly great being located so close to the city, but the traffic was challenging as well.  We parked our car with Safe Cruise Parking and found it to be just as advertised.  We'd use them again to save lots of money over the Port of Miami parking garage.  I hope our particular departure from the Port of Miami was unusual.  While I would not avoid a cruise that departed Miami, I won't be in a rush to use this port in the future."
One of the better ports,April 2019,40,Port of Miami,nvtriker,This is one of the better embarkation Cruise ports we've been to. The worst part is the traffic getting to the port. Hopefully next year the new building at terminal Be done and help with some of the congestion getting in the building. This is much better experience than the NYC Manhattan Cruise terminal.
Love it!,March 2019,50,Port of Miami,mjrenb1,The Port of Miami is a few steps away from Bay Side shopping and wonderful restaurants. If you plan on going to Miami this place is a must. The Port itself is very busy. It is where many cruise ships set sail from.
A bit choatic yet very efficient,February 2019,40,Port of Miami,François G,"You're getting on a cruise ? You will notice the impatience of taxi drivers in line for a drop or pick up... Impatient and pushy with all the other cars... Yet, everything works pretty good with the help of officers directing traffic. "
Nice building but terrible design and staff,April 2019,10,Port of Miami,Mdwramp22,I said the hell with this and went over to the Uber area for more gridlock and it took an hour for my driver to get to us due to the gridlock! I’m an experienced cruiser and this was the first and last time using port Miami! I’ll be taking myself back to Everglades or Canaveral!
Miami Heat,November 2019,50,American Airlines Arena,racheldon1987,The atmosphere is incredible and I had such a great time.  Even better the Heat won!!
Marlins Park,August 2019,40,Marlins Park,387indy,"The baseball team has Marlins Park, a state of the art ball field. It has great concession stands, facilities, parking, and well maintained."
Cruise port parking,February 2019,40,Port of Miami,Normand L,"Good place to leave car. Huge port. Ship docked at different location at cruise return. Had a shuttle bus to go where car was parked. Only problem is that parking employee told me that the credit car did not work so I paid cash to find out that the amount was approved by the credit card company but to the best of my knowledge was never charged to my account. Strongly suggest that if you park there, keep the receipt."
"Cruise to St Marten, Puerto Rico, Haiti",January 2019,50,Port of Miami,nyrunr,Port of Miami was the Departure and return for our family cruise. Very well organized with a swift process.
Can walk to Port from Bayside Marketplace,February 2019,50,Port of Miami,Cybertalent,Arrived early for a cruise so went to Bayside Marketplace after dropping off our luggage at port. There is a bridge near the port you can walk across to downtown Miami. Beautiful views from bridge!
Great Trip,March 2019,50,Port of Miami,Crystal_M_Cochran,We took shuttle to P.O.M. from FLL airport. Curb service was great! They took our luggage as soon as we pulled in the Port....which was very early. 
Social hour,November 2019,50,American Airlines Arena,Blessing2020,"It was very good, it’s all your personal view, you will be able to visit and see how you like it for yourself"
Please “Don’t”,June 2019,30,Perez Art Museum Miami,Elien B,"The tour guide was great and able to place the modern art in historic context, hence 3 stars. The cafe is $$ and space in bad weather is lacking to enjoy some downtime comfortably. The collection I think is limited. If with kids I think the Frost Museum of Science (with whom PAMM shares the paved parking garage at their end), is a way better choice (not personal experience, but hearsay)."
Very big port,February 2019,40,Port of Miami,jlipp5240,"Most hotels have free transportation here, if not you can always get a taxi or Uber."
Terminal A - Royal Caribbean,February 2019,50,Port of Miami,care4many,Have to admit we really did not want to pay the price but our travel agent said it would be worth it and he was right!  After the grueling traffic to get there we had smooth sailing from the moment we pulled in to the port.  Terminal A is amazing!  We pulled up and the porters took our checked bags - found a parking spot - took elevator and walked into the terminal.  Within 15 minutes we were ON THE SHIP!!!  When we came back into port a week later we were off the Symphony of the Seas within 20 minutes - and in our car and heading to our next destination in minutes.  It was so easy!  No waiting for shuttles - nothing.  We had avoided Miami port as much as possible in the past as difficult to find safe parking and hotels are very pricey.  We had stayed night in Dania Beach/Ft Lauderdale and drove in the morning.  It was definitely very easy and made the transition from a trip to a VACATION happen in minutes!  You get what you pay for!
Best Parking is the Pits.,February 2019,10,Port of Miami,Gary H,This is for Best Parking at the Port of Miami.  The check in process was way too slow.  Need at least two people on the 7th floor checking people in.  Waiting on the Can was the worst experience I’ve had.  It took over twenty minutes for the first van to show up then there wasn’t enough room so we had to wait another 20-30 minutes Firth’s next one.  Very poor system with the multiple terminals at the port of Miami.  The pick-up was just as bad.  We were off the ship by 7:30 and didn’t get picked up until 8:20.  Terrible Terr terrible.  The van we rode in had a check engine light on as well as a low tire light.  The van was in terrible condition.  I for one will not be using best parking again.
If you park your car,February 2019,10,Port of Miami,maryk19958,"Don't use BEST CRUISE PARKING, also known as PARKWAY PARKING.  We recently waited for one hour and 15 minutes for a van to pick us up to return to the parking garage.  After waiting for 45 minutes, I started making a list of the vans who came at least once,  to pick up their customers.  You'll be better off parking with: Miami Prime, EG, Premier (they came by 6 times while we were waiting), Hyatt Place, KSA Tours, Thrifty, Cross Culture Tours, Doral, Rental Car Shuttle, Angel Wings.  Best Cruise Parking.com seems to have only one little bus.  They actually came after 30 minutes, but were full and said they would come right back to get us.  The round trip to the garage must have taken 45 minutes.  We were waiting while it was raining in sheets."
Top Drawer Arena for Sports and Music,July 2019,50,American Airlines Arena,David A,"The Heat are making one last run for greatness under Pat Riley. Does he still have it? We'll soon find out. But the AAA is the state's most plush arena -- BB and T in Broward is the poorer cousin. Seen many greats there -- like Springsteen, McCartney, Hall and Oats, and the Who. Great amenities, and you can park far away and get there easily on the People Mover -- which is free, and the best deal in Miami."
Best experience in Miami! Many thanks to Fabian and the welcoming staff!,September 2019,50,Lock & Load Museum,ccstefan,"Thank you very much, Fabian and Lock & Load Miami!"
Great service in the rain! ,June 2019,40,Marlins Park,954hurricane,Thank you! 
Quick and organized,January 2019,50,Port of Miami,sunworshipperAlberta,The terminal check in was very smooth.  We were dropped off in the parking lot and there was someone there to gather our luggage then we were directed to the enterance of the terminal.  From the time of drop off until we stepped on the ship it was approximately 40 minutes which I thought was really great
Terminal A - great experience,January 2019,50,Port of Miami,13betty,"We left on Allure of the Seas and it was a quick, smooth check in.  When we returned, it was very easy off.  The only snag was the pick up by shuttle to pick up our car due to all of the cars and buses coming in."
So Much Better,February 2019,50,Port of Miami,davidhH3816ZT,"We easily got on the ship and upon our return, our daughter met us where she had dropped us off. We got into the port and out of the port in less than 5 minutes. So smooth and much, much less chaotic!! Great job, Port of Miami. Instead of screwing thongs up, as other ports are doing as cruise traffic increases around the nation, you all have figured a way to smooth out the process and make it so much more enjoyable coming and going from your port!! Thanks and keep up the good work!!"
love pulling up,February 2019,50,Port of Miami,Loretta R,The port is so well organized and orderly for all the ship to embark and disembark. Getting through customs is getting shorter with more efficient employees. 
Pleasantly surprised,July 2019,50,American Airlines Arena,58FunTimes,Good job!
Do it NOW! ,August 2019,50,Lock & Load Museum,Lambur,EXCELLENT experience ! very easy process to start didn’t even take 15 mins before we were ready to get some target practice. Our instructor “Max” was very patient and great teacher. Overall experience was flawless deff recommend it and try out the “Desert Eagle” you will not regret it 
Fabulous stadium,May 2019,50,Marlins Park,John H,"Brilliant facilities but very expensive food and drinks, compared to the $10 entrance fee. Really impressive stadium."
Beautiful Ball Park - Friendly Staff,May 2019,40,Marlins Park,emteetribe,"What a beautiful ball park.   Drove over from Tampa and stayed at hotel near the hospital - walking distance.  Great park, too bad nobody goes to games there.  Bobblehead ""museum"" is a must see!"
Cruise,January 2019,10,Port of Miami,Linda Z,This port is terrible. There is no organisation just a cop going mad with his whistle. You can’t drop off your baggage for a cruise. We had to park in the car park then lug the cases over the road to be checked in.
Holiday family cruise,December 2018,30,Port of Miami,Christine C," Embarkation on 12/30 was super easy.  Luggage taken as soon as we stopped the car.    Parked in the parking structure.  Walked through all checkpoints without waiting.  All personnel were helpful and courteous.    Returning on 1/6 was a different story.  The baggage claim was super crowded.  Luggage porters were yelling to move out of the way but there was no way to go.  The baggage claim was on the opposite side of the parking structure and we had to walk close to 2 blocks (due to barriers)  with luggage.    Best embarkation port, but not so good for debarkation."
New port terminal,December 2018,50,Port of Miami,jeannew162,The new port terminal at the port of Miami is very refreshing and well organized. Was very crowded but we were in and aboard the ship in less than 30 minutes!
Very convenient,January 2019,50,Port of Miami,Kalvin S,We came here for a Disney cruise trip and found the port to be very convenient from downtown Miami.  No problems at all!
wonderful outing with family,April 2019,50,Phillip and Patricia Frost Museum of Science,Luletha C,"my 3yr old grandson celebrated part of his bday visiting the museum which thoroughly enjoyed, it was great fun for the adults as well."
The name says it all!,August 2017,50,World Erotic Art Museum (WEAM),ransom007,"Located on the second floor, WEAM is all its name indicates. It is chock full of paintings, sculptures, photographs, etc., depicting erotica. The biggest problem I had with the visit was finding parking in Miami Beach. The exhibits cover erotica from all over the world and numerous time periods. If you appreciate this type of art, I wholeheartedly recommend WEAM for you. It is also much larger than it appears from the street."
Maybe the cleanest ballpark around,April 2019,40,Marlins Park,Michael P,"On the down side, attendance is poor which detracts from the game day experience.  An enthusiastic home crowd could make this place really special.  On the night I went, the visiting Cubs had more fans."
"Very nice park, clean. Good place for a ballgame",April 2019,50,Marlins Park,DerrickintheKeys,Hotdogs and nachos were on the menu with some adult beverages and water after the 7th.  Two of our party smoke and they were able to find the smoking area quickly and it was well kept.
Beautiful Ball Park,May 2019,50,Marlins Park,rcardo21rv,"Marlins Park is beautiful, the seats are comfortable, it doesn’t matter where you seat you will have a nice view of the game, and the standing areas are great. There is a lot of great food options in Marlins Park, I think Marlins Park should be a must go place in Miami!!"
First visit to Marlins Park was 5-Star!,April 2019,50,Marlins Park,gary m,"I wasn't sure that I would like Marlins Park, but once there, I was pleasantly surprised.  The roof was wide open and it had the feel of a regular outdoor stadium.  We even had a nice breeze from time to time, of course it was still just April, so I am sure it will be hotter in the summer months.  Also, the Cubs won 3 games in a row.  Maybe not so enjoyable for Marlins fans."
"Lots of local food, fun to walk around and easy to get to",September 2018,50,Marlins Park,mh2320,"When we lived in Miami, went there all the time, reasonable family fun and really good food choices!"
A limited museum in a gorgeous building and location,October 2018,30,Perez Art Museum Miami,MiamiKM,"Miami had the possibility of having a wonderful museum, but it allowed one developer who gave it his name dictate much of its permanent collection, and alas, the result is a disappointment.  Every once in awhile it gets some interesting pieces in a traveling show, starting with the opening show by Ai Wei-Wei and including a recent pieces by Picasso.  The Lowe Museum at the University of Miami has a far stronger collection, as does the Ft. Lauderdale Museum of Art, and the best art museum in South Florida by far is the Norton in Palm Beach."
I the middle of the city,January 2019,50,Holocaust Memorial,Michael L,very very  humble experience 
Not easy for an eldery person,March 2019,20,American Airlines Arena,annasF472NN,"I decided to take my mother to Andre Boccelli's concert which was spectacular but I did not count on the stairs so narrow and high for my mother. It was ny first and last time going to a concert there, it was very stressful probably my fault since I should have find out before going. In my personal opinion, it is not even secure for attendees if a fire and/or an emergency strikes de arena... God forgives. I do not recommend taking an eldery there unless you have the financial means to pay the ground sites which are located in the most expensive area."
Good place for a walk,January 2019,40,Perez Art Museum Miami,susanduran,I really liked the PAMM. They have some amazing things to look and feel. The whole place is artistic and cool. Don’t mind taking good pictures when you go there ️
Nice ball park but the food vendors are the worst.,April 2019,40,Marlins Park,orangeman13,"I am only writing this review because I am hoping somebody in food service reads this. For the most part the people working at the park were nice and helpful. The park is really nice and easy to get around. All this changed when I went to order food. When your waiting in line the workers will hold up a sign to tell you they will take the next person. So when I went over to order the person took off and never came back. I then went to the next person holding the sign and he said I should have stayed where I was but I told him that she took off and never came back. I ordered the Cubin sandwich and after I paid he came back and said that it would be 5 minutes before I could get my sandwich. I waited a whole inning waiting to get my sandwich and missed a couple of runs. If he would have told me they were not available I would have ordered something else. Later in between innings,  I went up to get a pretzel  and 5 people were standing around talking and no one wanted to wait on me. I could not believe that I had to interrupt them to get my food. If someone in customer service sees this Please do something."
A must visit while in Miami,April 2019,50,Marlins Park,ShelleyOC88,"On our recent trip to Florida we went to Miami for the weekend and had to catch a baseball game - our first ever one! Atmosphere was great, game was great and they won! Nice arena and comfortable seats."
"Beautiful Park, cheap parking, cheap seats",April 2019,40,Marlins Park,dkc_liv,"I loved the stadium, parked right across the street for $20. $40 seat was first row second deck right at first base. (Too bad the on field product was bad)..easy in/out."
Great experience,April 2019,40,Marlins Park,has74,A great experience for anyone visit8ng the US.  Lots of crowd interaction.  Food not great - mainly burgers or hot dogs
Great place to see a ball game,April 2019,50,Marlins Park,Bowlerx_424,Go see the Marlins or your home team.   Worth the visit
Emotionally Moving...,December 2018,50,Holocaust Memorial,rudy_c2000,"Amazing memorial, this one really makes you feel what it was like for the Jewish people, and reminds us how lucky we are to be alive and live in a free country. The walk down to the center island with the hand was the most moving experience I have ever had at a memorial, and I don’t have any personal Jewish connection. Just the humanity of it all...amazing piece of art!"
Miami Heat or El Heat,March 2019,40,American Airlines Arena,MartinBellin,"We had the chance to visit one of the games, or better basketball events. They are always worth a visit especially if you are not familiar with sport events in the USA like us as we are from Europe. But be prepared to consider extra time for getting back to your place. Traffic around the arena after the game is chaotic and impossible. Take a stroll 2 or 3 blocks down and call the Uber right then. "
Nobody Home,November 2018,30,Perez Art Museum Miami,Michael L,"The Perez Museum is a stunning structure, with innovative tropical landscaping and a great location on the Bay. What a shame that there's nothing inside. The temporary Christo exhibition about wrapping Miami's islands in 1983 was mildly interesting, but Hew Locke's colorful suspended boat collection was the only bright spot in the museum's abysmal permanent collection. I was very impressed by the building but going inside was a waste of time."
love it,December 2018,40,Perez Art Museum Miami,merry8it,"I've only been here twice, but i'm a big fan. It's a fairly small museum, so it's easy to see everything. Even if you're not loving the art on display, their outdoor areas are cool and fun. Great museum shop, too."
Great Park. Lousy team.,April 2018,30,Marlins Park,feason99,Not too big and not too small. Hardly a seat that has an awful view. Airconditioned for those excruciating Miami summer nights. Now if only there was an exciting team to watch.
Beautiful Ballpark!,May 2018,40,Marlins Park,Brian D,This is one of the nicest ballparks in the States. Too bad the team in a mess. Try not to go to a game in the dead of Summer. It gets hot out there!
Marlins 2018,July 2018,50,Marlins Park,Dylan S,"Marlins Park is cool and fun to see baseball games. Despite falling down, the Marlins staff checked me out and made sure I didn't suffer any long-tern injuries. "
Ballgame with the Guys,July 2018,40,Marlins Park,nibaldom2015,"Marlins Park is very comfortable place to watch a ballgame. The restaurants and the Clevelander Bar is pretty nice. I know the team is not great, but the Park has plenty to see and do while at the Park. Come and enjoy the Park."
Reminder of history ,November 2018,40,Holocaust Memorial,H2139UZseanl,Thought provoking especially during nationalistic times in USA. The statues were amazing and the words on the plaque quite sad 
"Wonderful, interactive facility!",February 2019,50,Phillip and Patricia Frost Museum of Science,Angela N,"Kids and adults will enjoy this venue. It is open air, but with cover so you can visit in inclement weather, no problem.  The views over the water are incredible! There are many wonderful exhibits, a planetarium with several shows, a good cafe, and MetroMover station on site. Purchase tickets on line at least 2 days prior and save a few dollars per ticket. Enjoyed!"
Architecture Tour at 11am ,November 2018,50,Perez Art Museum Miami,Traveler123020,"There is an architecture tour at 11am, and it was excellent. We learned about the history of the museum and the inspiration for the design. In addition, we learned about the materials and the cobaix building process that allowed for the expansive galleries. The permanent collection is manageable, and we enjoyed the Christo exhibit. "
