review,travel_date,place,title,usr_code,rating
"The walk usually is done from the MEMPHIS side as there is very little on the Arkansas side. Walk across to Ark, and then Walk back.  ",November 2019,Big River Crossing,Walk Across the River,MemphisZ,50
There were lots of video but a little confusing because they played continuously somewhat near each other.,November 2019,Stax Museum of American Soul Music,Lots of video playing simultaneously ,mtn1moma,40
cadillac was something to see,October 2019,Stax Museum of American Soul Music,I loved it,After5comic,50
"Starts with a short film about the history of Stax, then proceeds to a self guided tour with lots of cool artifacts from the studio. Go at your own pace and take in as much or as little as you like. Very reasonably priced, including the gift shop, Isaac Hayes' totally audacious gold plated Cadillac Eldorado is a scream. Great tour, totally recommended.",November 2019,Stax Museum of American Soul Music,Loved the Tour,0259dlsQ,50
"Although this isn't the original, it has been extremely well thought out & we had a thoroughly enjoyable morning learning about the origins of Soul Music. A must see on your visit.",August 2019,Stax Museum of American Soul Music,Great nostalgia,Paul936,50
"Love music history?  Then get thee there without hesitation.  Give yourself at least an hour, preferably two or three.  DOn't do more than one of the music museums each day if you can afford the time.  Each one is great and worth going and overflowing with interesting information.  At this location, come prepared with to move a little on the Soul Train dance floor.  Make certain to ask them to crank the sound up some...soul isn't meant to be played at a comfortable level. Sly said it...""Play it loud!""",October 2019,Stax Museum of American Soul Music,Soul Train Lives On,Lisa V,50
What an incredible and moving experience to go through this very important museum. It takes every aspect of the African-American experience (Slavery-Obama’s election) and immerses you in the time. MLK Jr. is respectfully memorialized and worthy of every accolade and accomplishment! Same for the brave pioneers to bring about Civil Rights here in the US! You leave with a great quote “Be the change you want to see in the world!”,November 2019,National Civil Rights Museum - Lorraine Motel,A Museum every American should visit,ktucky44,50
This is a must see part of any trip to Memphis.  I was ignorant to the events that lead up to the assasination of Dr. King.  The museum explained it well.  It also showed the long road for freedom and civil rights that many of our fellow Americans had to endure.  ,December 2019,National Civil Rights Museum - Lorraine Motel,Wonderful Museum Honoring a Great Man,K5323AKdanf,50
"This was a very humbling experience.  I really enjoyed learning about African American history.  I learned about some things I did not know about before.  We went Labor Day weekend and it was very busy, so I would recommend going at a less busy time.  I would visit again.  You can also go into the building where the shot was fired from, but sadly I missed that part.  ",September 2019,National Civil Rights Museum - Lorraine Motel,A piece of history,smcdonald49350,50
We didn't know much about the museum but enjoyed it very much. Very well done and informational. You could spend 30 minutes or 3 hours.,November 2019,National Civil Rights Museum - Lorraine Motel,This was a great stop,419lorik,50
A must in Memphis! ,November 2019,National Civil Rights Museum - Lorraine Motel,A fantastic museum ,I7702HImichelles,50
Graceland is great. You are allowed to write your name on the garden wall too.,December 2019,Graceland,Loved It!,MRREVIEWER,50
It’s all about the money not the memory !!,December 2019,Graceland,VIP Ultimate Tour,GS2568,40
"I was never a huge Elvis fan. I enjoy many of his songs.  However, his ride to fame was before my time. With that said, I found Graceland fascinating from a historical perspective. It was more modest than I imagined - given Elvis's superstar status. However, the stories behind some of his decorating choices were interesting. They were consistent with how a young man with a lot of money might design.  The jungle room, billiards room, and mirrored staircase are examples.  I thoroughly enjoyed the visit and recommend it to all! PSA... We decided to walk to a BBQ spot about 1.5 miles down the road.  The area around Graceland wasn't incredibly welcoming or safe. Take an Uber or a cab if you plan to venture out!",December 2019,Graceland,Thank You... Thank You Very Much!,K5323AKdanf,50
"Enjoyed going there, like a lot of things to do when your on holiday. But if I went back to Memphis it wouldn't be on my list of things to do, Beal Street is great though",April 2019,Graceland,"Glad to have been there, wouldn't go again",PeterK8419,30
An interesting insight into the life of Elvis! Definitely worth a visit for the history and the music! ,November 2019,Graceland,Worth a Visit ,I7702HImichelles,40
"Recreated on the original site and including some materials salvaged from the original building, this museum pays tribute to the label behind some of the finest soul music recorded.  ",October 2019,Stax Museum of American Soul Music,If you like Aretha and Otis,Ian_and_Susanna,40
"Cannot recommend too highly. A wealth of artifacts, displays and excellent music - there’s even a Soul Train dance floor with footage from the show and a glitter ball! We were oriented by a charming, effervescent young employee, before stepping into Soulsville USA. What a wonderful place this is; not only have they rescued this major part of the US’s cultural heritage, their mission also brings soul, funk and R&B to a future generations, as they have an adjunct program that runs music programs for after school and holidays with local students. It was moving and inspiring to see footage of young, talented students performing their rendition of the Staple Singers’ ‘Respect Yourself’. Sets a gold standard for other museums, by seamlessly weaving the past, present and future into a truly amazing experience.",October 2019,Stax Museum of American Soul Music,Drowning in Fabulous Music,Sally N,50
Well done and it tells the history or Rand B and soul really well. Has some great memorabilia. Would for sure go again. ,October 2019,Stax Museum of American Soul Music,Fantastic!,RDFMQF,50
Was disappointed though it could have been better thought it would have been like it was not just found it boring,June 2019,Stax Museum of American Soul Music,Was disappointed,Gina S,20
Well worth a visit if you’re in Memphis to learn all about the music. ,October 2019,Stax Museum of American Soul Music,Wonderful,739damienb,40
"Allow plenty of time for this museum as there’s so to read, view and listen to starting with slavery to modern era. We earned so much & refreshed our memories. The museum is well done.",December 2019,National Civil Rights Museum - Lorraine Motel,Amazing Learning Experience,DVenturer,50
"I was depressed and ashamed by everything and everyone there.  I did not feel welcome in this place.  Many of the speakers on the TV spoke of hate not healing.   He cannot, but Dr. King would not see this as a fitting tribute.",November 2019,National Civil Rights Museum - Lorraine Motel,Depressed and Ashamed,Rendonbon,30
"Very fine museum covering our civil rights struggles. Museum is located in the Lorraine Hotel whet Martin Luther King Jr was assassinated.  Museum as artifacts, story boards and short movies from slavery to today.  Well worth the trip to see this fine museum. ",November 2019,National Civil Rights Museum - Lorraine Motel,Great museum with a sobering story,876simonr,50
My daughter and I drove to Memphis from Alabama for a quick weekend getaway. Had some great experiences and great food.,November 2019,National Civil Rights Museum - Lorraine Motel,Very educational,MzCeeCee2019,50
They did a very good job covering the history of slavery and showing the hardship and struggles to freedom. The films that were shown were very well done and most of the exhibits were effective. The exhibits wove around the building with the progression of time and the movement and ultimately brought you to the Lorraine Motel where Dr. King was shot. The rooms are displayed as if frozen in time. The second part of the museum is across the street from where the motel and museum are - in the old boarding house where the shooter had positioned himself. The whole second floor is a timeline of how the assassination was thought to have been planned and also included various conspiracy theories. It was too detailed and too long and really not relevant to the history and story of the movement. The main museum is definitely worth seeing. We felt comfortable and safe in the neighborhood the whole time we were there (I saw some other reviews that said otherwise). Be sure to look at the kiosks outside the building in front of the motel. They x=contain videos and have some good information.,November 2019,National Civil Rights Museum - Lorraine Motel,The Museum is Excellent - the Legacy building was not worth the time,realst8ace,50
"So glad we decided to visit Graceland - it was much more than I expected. Found it very informative, interesting, lovely and well worth the stop.",November 2019,Graceland,Enjoyed ,Pattergreen,50
"We heard from others not so great... but don't listen to others, because we had a great time here and spent the entire day.",October 2019,Graceland,Terrific Displays!!,Peter C,50
"Okay, I really like Elvis so I would never miss the opportunity to visit Graceland but my spouse doesn’t and he even enjoyed the experience. Elvis was an iconic person and going to Graceland provides The WHY. Allow 4 hours as there is much to see. There is food on site so you can take a break. ",December 2019,Graceland,Not To Miss,DVenturer,50
The tour was nice and we really enjoyed the Christmas decorations!! Everyone is so nice and helpful!,December 2019,Graceland,Nice!,Rosie2298,40
"Can’t share pictures of inside... beautiful seeing everything decorated for Christmas. 1st back since 2000. Had gone 3 times since Graceland opened in 1982. So much change. We took shuttle to Graceland, and did a self-guided tour inside using an iPad.... definitely so much better. Heard more detailed stories ... heard lots of Elvis dining his songs. Definitely a MOST for everyone!",December 2019,Graceland,Awesome,345suzanneb,50
"A really interesting overview of how soul music got started and how innovative the Stax label really was, for its time. Definitely worth a visit if you have the time and a great place to spend two hours or so.",June 2019,Stax Museum of American Soul Music,Music lovers haven,Clare H,40
"Having been faithful to the original building, they've re-built it in the same spot in Soulsville. While it is a trip slightly out of the tourist centre (a 45 min walk from the civil rights museum, and through some fairly bleak area, so probably worth getting a cab), but it's well worth the trip, giving a great musical trip through the era and covering all the soul greats that were published on the label. It's uterly engaging and interactive with a 20 minute video followed by lots to see and listen to. It's visually very appealing and gives you just the right amount of information and heritage to bring it alive. This is a fantastic overview of the Memphis music scene. Also a great shop, but no cafe.",September 2019,Stax Museum of American Soul Music,The heart of soul,D0ug101,50
I learned quite a bit about the origins of soul music at this museum.  I also liked the Soul Train dance floor you could dance on.  ,September 2019,Stax Museum of American Soul Music,Great Museum,aerober,40
Wonderful view into the fantastic historic significance of what i consider to be the best Soul Music ever recorded .from Artists like Booker T and Otis Redding to Sam and Dave ...the list of legends is endless.It unfortunately is a little outside of downtown and in my opinion they should have shuttle buses running from Beale Street at least once an hour.,September 2019,Stax Museum of American Soul Music,"well  and truly Souled,",Marie M,50
Their music told stories.,August 2019,Stax Museum of American Soul Music,"Blues, Blues and more Blues.",Safari166160,50
"This was an excellent museum, very well done with many interesting exhibits.  Learned a lot; very thought-provoking.  ",November 2019,National Civil Rights Museum - Lorraine Motel,Best thing in Memphis,ecd916,50
"This museum is definitely a must, if visiting Memphis. Allow plenty of time. Rosa Park’s bus was one of the highlights. Glad I booked tickets online. ",September 2019,National Civil Rights Museum - Lorraine Motel,"Well Presented , Well Told , Well Done",JJJP,50
"Terrific, terrifying, educational and baffling how people could be so brutal to others who were ripped out of one continent to be used in another. And coupled to the motel where Martin Luther King was shot was incredibly evocative. Worth every cent.",October 2019,National Civil Rights Museum - Lorraine Motel,Superb,Bob M,50
We were only able to see half of the museum because of time.  I think you need 4-5 hours to absorb everything!  Excellent is too tame a word!,November 2019,National Civil Rights Museum - Lorraine Motel,Must see,JAN B,50
"I expected a much larger home for the King. The house was nicely appointed and a reasonable size, but I expect more from Elvis! The home was preserved just as it was in the 60's and 70's. Very good tour guide.",October 2019,Graceland,Elvis Presley 'Estate',tom o,50
"We were there for the Christmas lighting ceremony, plus we toured the mansion and the new exhibition center. Spectacular!!! A bucket list item for everyone!!",November 2019,Graceland,Home of the King!,AllenB1013,50
"We did the Experience Tour, qualified for the senior discount and received an additional AAA 10% discount and it was still overpriced. I wasn’t that impressed with the mansion tour. Access was limited and although furnished as it was when Elvis lived there, the decor was a bit on the bizarre side. The lighting in the downstairs family room was dark which made it hard to see much. The exhibits at the main center were decent, especially the part that highlighted his movie career, his military service and his performance tours. There was an extensive display of his extensive jumpsuits. Parking cost an additional $10.",November 2019,Graceland,"We had to go because we were in Memphis, but it wasn't worth it",realst8ace,30
"This tour is mid-priced, but let's you see it all.  I spent about 5 hours on the tour.  The ticket office is across the street from the mansion.  Buy your ticket, and wait for the appointed time to see a short intro video.  Then, hop on the shuttle to go across to the mansion.  You get an i-pad with earphones so you can spend as much time on the tour as you wish.  The reflective garden with their headstones is quite somber, as it should be.  Then, take the shuttle back across the street to see all the memorabilia.  It's like a mall, with restaurants & shops interspersed between the various areas.",November 2019,Graceland,Elvis Experience was FANTASTIC,Patti K,50
An amazing time at Graceland today. It’s better than ever. The technology and all the additional exhibits make it worth every penny.  Definitely a must for anyone who enjoys Elvis.  ,November 2019,Graceland,Return visit after 43 years. ,840randyh,50
"Really enjoyable walk through the history of soul music and the record label. It was great to hear about how black and white folk integrated so well in the studio here in the sixties, given how Memphis was segregated at the time.",August 2019,Stax Museum of American Soul Music,Bit of an unexpected gem,David F,40
Enjoyed every exhibit at this museum. Several interactive stations. Especially had fun in the Soul Train Disco area. Definitely add this to you list of places to visit during your Memphis stay. Checkout their Facebook page. ,July 2019,Stax Museum of American Soul Music,Step Back to The Past in Music!,PowerSurgeClinton_MD,50
It's worth a visit if you're in Memphis. It takes a couple of hours to do it right.,June 2019,Stax Museum of American Soul Music,Southern Soul Music. A must see!,Brent1000,40
"The World Famous Stacy Museum was an Awesome Experience: History is relevant when History is Told: The Giants Of Music On Display; The Luke’s Of BB King, Elvis Presley, Bobby Blueband and Many More Just To Name a Few: This is a Place Of Great Music Thesauruses!",September 2019,Stax Museum of American Soul Music,A stop in History,924ernestj,50
"If you love soul music, don’t even hesitate - very well curated and set out even if a wee bit out of the way. COMPULSORY ATTENDANCE. ",September 2019,Stax Museum of American Soul Music,Up there with Sun on my music pilgrimage ,C9656MNsimonb,50
"In Memphis, you should not miss this exhibit. It is an exhibit to be seen by all and presents a thorough and compressive understanding  of the turmoil experienced in the US during the Civil Rights Movement.",October 2019,National Civil Rights Museum - Lorraine Motel,Excellently Presented and is more than MLK,AlandNancyr,50
Well worth the time. Very educational. Take a couple of hours to go to the museum. They tell the story from the beginning of the slavery trade through the civil war and up to the present. The Dr. Martin Luther King portion of the exhibit is fascinating. ,November 2019,National Civil Rights Museum - Lorraine Motel, Very interesting ,TimT1611,50
"Very educational and humbling experience. The museum was carefully thought out and laid out, excellent flow through history chronologically. Very interesting and a must visit for Memphis. Also the free parking is wonderful.",November 2019,National Civil Rights Museum - Lorraine Motel,Worth every minute,alwaysanderson,50
"I just don’t have the right words to describe this experience. It is powerful, somber and informative in ways i could not imagine. The exhibits are well done with verbal accounts that describe first hand experiences in very powerful ways. This museum is not to be missed.",November 2019,National Civil Rights Museum - Lorraine Motel,Powerful,Terri T,50
"It is such a powerful and gripping experience to learn in details the hard truth on injustices done to African Americans not so long ago. Also, a truly inspiring experience to learn about the many sacrifices of the courageous heroes that awakened the conscience of the nation.",November 2019,National Civil Rights Museum - Lorraine Motel,A Profound Experience,mebt2016,50
"I’m not a huge Elvis fan but you can’t visit Memphis and miss Graceland. We visited the mansion and museum opposite. The cars were amazing. The Eldorado was a monster, all chrome and fins, and some of the others were pretty awesome too. It was fascinating seeing some of his costumes and the wall of gold and platinum records. Because he didn’t tour outside the US, thanks to his manager, I had no idea just how many gigs he played. The mansion itself is really modest compared with the excesses of the likes of the Kardashians. It was a very well put together tour.",November 2019,Graceland,Really interesting,MrsJ1950,50
If you drive they do have a parking lot that costs you $10 to park but a quick google search will tell you how to score free parking elsewhere but you will have to walk a little further. ,November 2019,Graceland,Tour through Graceland ,nadiaaB5693RA,50
"The employees are the rudest people I have ever had to deal with!   Not just one of them, rude people across the entire complex.  ",November 2019,Graceland,Graceland ,lsr213,20
Truly an incredible opportunity for an Elvis fan. Worth the money and time no matter how far you have to travel!,November 2019,Graceland,This is well worth the visit.,Excursion280864,50
"Sadly, the Graceland experience is not what is was ten years ago!  The cost is higher but the experience is cheapened.  ",November 2019,Graceland,Stop over,Curt-Lonie M,30
"a great history of one of the most important music making giants!! plenty of examples and context explain...many, hardly ever considered....the video are as impressive as the artifacts in the collection.",July 2019,Stax Museum of American Soul Music,stax...   motwon of the south,jhatwo,40
Great museum which takes about 90 minutes to fully see. So much musical history - I would recommend reading one of the many books regarding Memphis / Stax soul music before you visit. Gift shop also has some stuff worth purchasing.,August 2019,Stax Museum of American Soul Music,Another must see in Memphis.,Owen C,50
Just a bit awkward to get to so as I said do a bit of research before you go,August 2019,Stax Museum of American Soul Music,Soulsville,Mersey B,40
"My wife and I pulled into Memphis on a Sunday afternoon and began our stay with a visit to the Stax Museum of American Soul Music.  In full disclosure, we were already huge fans of this music and students of this era of American history.  That being said, the museum blew us away.  The three hours we allowed ourselves was not nearly enough as each corner we turned brought new artifacts, sounds and experiences to enjoy.  Particularly nostalgic was standing in what I would call their hall of records, finding all the ones that were part of our personal collections.  It was also interesting (and sad) to learn of the business interplay with Atlantic Records and FAME  studios (previously visited) that ultimately led to the demise of the iconic Stax label.  Hands down, the best ticket in Memphis is the package ticket for the Stax Museum and the Civil Rights Museum!",August 2019,Stax Museum of American Soul Music,Can I give it 6 stars?,Victor A,50
Stax is were Soul music was born. To see the outstanding collection of the 2 decades of artist’s stuff was incredible. Would have liked to have a tour guide option or at least an audio option self guided. If you like music you have to visit Stax records .,August 2019,Stax Museum of American Soul Music,The Birth of Soul,Duckmaster6,50
"Any and every American should visit this historical site.  The civil rights movement is integral to America's history and throughout its history. I would suggest first visiting the church where King last spoke giving his ""I've Been to the Mountaintop"" speech, then going to the Lorraine in the early morning before a crowd assembles for the sanctity that peace and quiet affords this place in order to hear the echos of the past. And as you bear witness to the history that transpired in these places perhaps recommit yourself to love of your fellow human being and upholding the Constitution and it's protections for all people.",October 2019,National Civil Rights Museum - Lorraine Motel,History at Hand,Lisa V,50
"The National Civil Rights Museum is something every American should see. Sit at a segregated Woolworth lunch counter, sit next to Rosa Parks on the bus, see the bus the almost became a coffin for the freedom riders, sit in the cell where Dr. King wrote letters from the Birmingham jail, stand on the balcony where Dr. King took his last breath. It is a solemn and moving place. Filled with amazing history.",October 2019,National Civil Rights Museum - Lorraine Motel,Breath taking and Profound,Coffy B,50
Everyone needs to visit the museum.  Its touching and heartbreaking at the same time. I had more respect for the struggles and pains of our ancestors ,October 2019,National Civil Rights Museum - Lorraine Motel,very education,After5comic,50
"I visited this museum with two family members and as much as we wanted to love this, we didn't.  We found the layout confusing, and it was tons of reading without interactive exhibits.  I think it would be too much reading to keep a child's interest.  The films were very good, though.  ",November 2019,National Civil Rights Museum - Lorraine Motel,We didn't love it,Nicole R,30
"Do yourself a favor and 1. get there early so you are one of the first tours, and 2. buy the more expensive VIP tour because it is worthwhile.  DO not come hungry, the cafe is limited and there are fillers but no justifiable items that could be called ""food;"" just starchy fillers o minimum quality.  It's a huge expanse and is very well attended. Get there early and you park in the first or second row; get there an hour after it opens and you're in the back lot. And do yourself the supreme favor of buying your tickets online well ahead of your visit.",October 2019,Graceland,Early Bird Gets the Worm,Lisa V,50
You can't visit Memphis & not visit Graceland. The interactive tour around Elvis' home is very well done & certainly worth the entrance fee,August 2019,Graceland,Worth the trip,Paul936,40
I am not considered an Elvis fan ( like some songs) but came to with friends who LOVE Elvis. I must say I am now a fan!! I loved listening to the movies and seeing all the costumes and home movies.... nice job Graceland !!!,November 2019,Graceland,Enjoyed entire visit,lieu1803,50
"Overall this was good. However, we waited a long time for the transportation from the visitor centre to the house. The house was interesting but much smaller than I expected. We enjoyed it and I would recommend it.",October 2019,Graceland,Good in parts,mum5EastAnglia,40
"Elvis died over 40 years ago, I cannot see his memory fading from generation to generation, so here's to the next 40 years and beyond. The King lives! ",November 2019,Graceland,Fantastic day,rodb945,50
"The history lesson is a little bit too long (too many details). I appreciated the last few posters on the various controversies regarding the assassination. It is an attempt to be objective. There is a lady outside who is protesting the museum and I recommend talking to her, even if you do not agree with her opinions",November 2019,National Civil Rights Museum - Lorraine Motel,A thorough history lesson,hashemsherif,40
I might have been suffering from music museum fatigue but this just didn’t grab me. Introductory film was informative but the remainder of the museum was disappointing. ,July 2019,Stax Museum of American Soul Music,Slightly disappointed ,Alison18,30
The history of Stax Records and Memphis soul is the center of this fantastic museum. I had no Idea of the influence of this one little place in the shaping of American popular music before visiting. This is one museum that I will visit again.,June 2019,Stax Museum of American Soul Music,The best musical tour that I have ever seen!,BigDR61,50
Great job of telling one neighborhoods story.  It is still in the area that seems to be in a cycle of poverty trying to rise.  This museum is still a part of the attempt to show that it can be done! They tell a great story of music versus color. Very well done!!,July 2019,Stax Museum of American Soul Music,A Piece of Music History Worth Visiting,klprice116,50
"The Stax Museum has an amazing collection of stories and artifacts from some of my favorite soul singers of the late 1960's and early 1970's, including Booker T and the MG's and Isaac Hayes.  It brought back so many memories.  They even had one of Isaac Hayes' cars on display.  The number of records recorded there was amazing.  It also reflected a time when, within that era of music-making, race was not an issue.  They all got along, whether White or Black.  After Dr. Martin Luther King, Jr., was killed, that all changed.  Eventually Stax Records went out of business in 1974, but their legacy will live forever.  A really fun part of the museum was the dance floor where they urge everyone to ""Express yourself!""  If you grew up with good ol' soul music, go there.  Get inspired!",June 2019,Stax Museum of American Soul Music,Experience music history first-hand,imslow,50
"This museum was loaded with memorabilia, good music and history.  It was at the top of my list along with the Blues Musuem.",July 2019,Stax Museum of American Soul Music,Worth the Visit,Lori H,50
"Based at the former,  Lorraine Hotel, site of the King assination, The museum covers the history of the African Slave trade  to Southern ports and the Civil Rights struggle.  It is very informative and a fascinating journey of a people denied as the struggle for equality is presented with films, excellent displays, and the site of the deply disturbing events surroiunding Dr. King's murder.",November 2019,National Civil Rights Museum - Lorraine Motel,Historic Site and fascinating museum of primarily African-American history.,jesseMN,50
"It was very busy, because the museum is not that big. But it is a very important class of what happened and what still is going on in this world. It gets you back on your feet. Very impressive. You can easily take the authentic tram from the center to Lorraine motel.",September 2019,National Civil Rights Museum - Lorraine Motel,Lesson for everybody,Marco L,40
didnt go into the museum just being there and feeling the sadness of that day was powerful enough for me and my wife and its reachable on the trolley,October 2019,National Civil Rights Museum - Lorraine Motel,quick visit,stephenhY8508YG,50
Must visit if in the area,October 2019,National Civil Rights Museum - Lorraine Motel,Fascinating but humbling,ianpB3058VR,50
We had a great time exploring the mansion and museums of Graceland. The expansion of the museum gives a wonderful venue for all the Elvis memorabilia.,October 2019,Graceland,Goin to Graceland,nancyz985,50
I really do recommend the Ultimate VIP tour if you can afford it.,November 2019,Graceland,Ultimate VIP tour with Brooke ,143GordonB,50
"... a visit to Graceland was a stop on our road trip. $10 to park and $66 each to view the mansion, exhibits and planes. We got there just on 9 a.m. and after picking up our tickets were able to take the next tour of the mansion. Shuttle bus took us across the road to the mansion and we were given an audio tour as we went through the various rooms and out into the grounds. It took about an hour to go round and as we were early it was easy to move around to see everything. Back over the road to the museum site which showcases Elvis vehicles, costumes, and all manner of  memorabilia. In all we spent three hours here. The mansion was the highlight for us. You do have to be a die hard Elvis fan - for me once you've seen a couple of his rhinestone encrusted stage outfits you've seen them all! Having said that we were glad we went but it was a quiet Monday in November with no queues or crowds. ",November 2019,Graceland,While in Memphis... ,gloriousdevon,40
"Totally overpriced, most touristy thing to do in Memphis. But, hey, why not? Graceland has been the subject of jokes, songs, and even the most recent Zombie movie. You kind of have to do it because everyone is going to ask if you tell them you visited Memphis.  And what are you going to say, “$66 to see a deceased singer’s house in the worst of Memphis was a rip off.” You’ll ruin the myth!!! Keep the legend going...",November 2019,Graceland,Why not?,JAG2021,30
I wasn't crazy about going here but my husband really wanted to go. I LOVED it! It was so interesting and I felt like I walked back into my childhood!,November 2019,Graceland,Graceland,llee813,50
Having lived through many of the events reviewed in this comprehensive museum we were very moved by our visit. We spent 4 hours there and could have stayed longer.,November 2019,National Civil Rights Museum - Lorraine Motel,A moving experience.,mittych,50
I was very excited to see this place as I have always been a lover of soul music since a teenager.  Not as much as I was hoping for but definitely worth a visit.,April 2019,Stax Museum of American Soul Music,Good,Carrie439,40
A nice museum but getting old and a but rundown.  They need more audio visual displays.  It takes about an hour and is interesting but looks old and poorly maintained.  Lots of music history.,June 2019,Stax Museum of American Soul Music,Interesting but needs updates,Ed R,30
"Was there for one hour it’s worth a trip , start with a movie about 30 minutes , after that make your way round the museum looking at many artists life with Stax also cloths and other items donated by stars , there a mock up of a studio , many instruments  donated , and for me the best was Issac Hayes Cadillac, beautiful car from years ago ",June 2019,Stax Museum of American Soul Music,Soul music ,554MichaelA,40
"I have to be honest, this tour was our least favorite. The intro video and story behind the studio was good, I just got bored with the actual tour. We were there about 1 1/2 hours - which was enough for us. If you have time to waste, drive out to this studio.",June 2019,Stax Museum of American Soul Music,Perfect place to escape the rain.,knnjones,30
"Not to miss museum when you are in Memphis.  A well organized presentation recounting slavery to civil rights — the people, the events and movement in the United States.",November 2019,National Civil Rights Museum - Lorraine Motel,Powerful Exoerience,travel4CF,50
"Visit this museum! It's about more than Memphis, and it inspired me to se museums in a different way. I sped through it all in 3 hours, but I'd visit again and take my time.",November 2019,National Civil Rights Museum - Lorraine Motel,Fantastically engaging,Julie M,50
This is a very well done museum. You don't even realize you're in the motel until near the end. The information is well presented and there's a lot of it. Definitely a must-see in Memphis.,October 2019,National Civil Rights Museum - Lorraine Motel,Excellent Museum,307jons,50
"The National Civil Rights Museum is a well-done comprehensive exposition of the civil rights movement with emphasis on events in and around Memphis. Bring your children to see exhibits with grainy video of events which are long past but still relevant. The tour visits the last moments of Dr. Martin Luther King, Jr. before his brutal murder on the balcony of the Lorraine Motel. ",November 2019,National Civil Rights Museum - Lorraine Motel,A  must see!,ndegan,50
"The morning found us heading to Graceland...the mapquest quit (both of our phones) by a mysterious disturbance?  Whoa !! Elvis, Elvis get out of our phones.   From passing by this majestic house 15 years ago (did not get the opportunity to go in) the improvments have been substantial and made for a very pleasant, entertaining and soulful visit to Elvis's beloved ""GraceLand"".  We had a grand time in the small shopping area, seeing the introduction movie and taking the bus to the House.  It is great that the house was in it's 1977 decor and that we were not allowed up to the private spaces.  Very respectful.  We enjoyed the planes also.  No feeling of sadness or bad spirits in the house or surrounding area, just energy and awe for such a talent that left too soon.  Enjoy",November 2019,Graceland,Well Bless My Soul!!,Rebecca S,50
"We all enjoyed this even though I wasn't too excited about it to begin with, and I'm not an Elvis fan.  Fun and interesting.",November 2019,Graceland,We loved this,Nicole R,50
Gift shops were nice but very overpriced.,November 2019,Graceland,Very nice experience ,Andrzej1222,50
"This is an interesting visit but overpriced. Because of the large crowds, it takes time so count 3-4 hours",November 2019,Graceland,OK if you are an Elvis fan,hashemsherif,30
"My third visit and by far the best as I was told we could take as many photos as I wanted as long as I didn’t use flash. It was so exciting to be able to do so. The mansion was still much the same which is how it should be but the shopping has expanded to a big complex. A lot of the exhibits that were included before are now extras...the cars and his suits and the planes etc. Don’t let that stop you though, it’s still a unique place.",October 2019,Graceland,I could take photos!,butterfly33,50
A must see when visiting Memphis. The museum is very educational and well organized. There is a ton of reading so may not be suited for young children.  It was such a powerful tour by the end I was crying.,October 2019,National Civil Rights Museum - Lorraine Motel,Powerful,K1862IGamyk,50
Isaac Hayes et al. Took me back to my youth. It was great to hear the history of this overlooked genre of music. Will take you a couple hours to get your groove back on if you go!,May 2019,Stax Museum of American Soul Music,Great Museum of Soul,CorvetteMark,50
"This Museum was chock full of pictures, posters, artifacts, from all the artists who worked for Stax Records. It was very interesting to learn about how it all started, & about all the artists. Lots of displays of records, recording consoles, costumes, & even Isaac Hayes flashy Cadillac! If you are a music fan, especially of the soul music from the 60s & the 70s, plan to spend at least a couple of hours here. You won't regret it! Price, about $14, each, was reasonable & well worth it.",May 2019,Stax Museum of American Soul Music,Fantastic Piece of Musical History,2Hips,50
I love soul music but this place is about so much more.  Entry is not expensive and it has a great shop with some  excellent merchandise as well as free car parking at the rear.  It is self-guided but you won't find that a problem. ,May 2019,Stax Museum of American Soul Music,"Very cool, of course",Gavin J,40
"Memphis soul at its finest - Ike & Tina, Otis Redding, Al Green, Sam & Dave and on and on. This is the place to see, hear and discover the finest in Soul City music - outside of Elvis, the greatest gift Memphis gave to the world. And the gift shop is killer!",May 2019,Stax Museum of American Soul Music,Tremendous,liannucc,50
Recommended highly.,October 2019,National Civil Rights Museum - Lorraine Motel,A Must See in Memphis,MarleneL7,50
"This is a wonderful museum which, through a range of media, clearly and comprehensively tells the important and moving history of the Civil Rights movement. It is made even more signficant because it is located on the site and indeed is built onto the motel where Martin Luther King was assassinated. A must for any visitor to Memphis.",November 2019,National Civil Rights Museum - Lorraine Motel,A Powerful and Educational Experience ,382richardd,50
"This was one of the highlights of our trip having lived through those events.  Such detailed, shameful history of our country.  Very well done museum and highly recommended for all.",October 2019,National Civil Rights Museum - Lorraine Motel,Excellent Experience,0959000000,50
"The museum exhibits include an International Harvester garbage truck in an exhibit on the 1968 Memphis sanitation strike that brought King to Memphis, James Earl Ray's Ford Mustang, a 1968 Cadillac and 1959 Dodge parked outside the motel, a re-creation of the burned shell of a Greyhound bus used by Freedom Riders, and a bus representative of the Montgomery Bus Boycott which is a highlight. You will also get to chat with Jacqueline Smith who carries out her never ending Vigil across Road from the museum. The whole museum is a quite a sobering experience, yet, it is also hopeful and uplifting of how things could be.",September 2019,National Civil Rights Museum - Lorraine Motel,Powerful  stuff,Big_Jeff_Leo,50
We can’t make America great again until we learn about her past. This museum is emotionally stirring as well as historically enlightening. History is well presented and accurately depicted. Well worth the fee of admission. Personally I would have paid more. The gift shops have great prices as well. It is a museum for all.,November 2019,National Civil Rights Museum - Lorraine Motel,A must visit place in time,jeffreybW9421AH,50
